字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行超声检查的日期,2025-08-15
thyroidSizeLeft,甲状腺左叶大小,String,甲状腺左叶的尺寸（长*宽*厚）,4.5cm*1.5cm*1.2cm
thyroidSizeRight,甲状腺右叶大小,String,甲状腺右叶的尺寸（长*宽*厚）,4.6cm*1.6cm*1.3cm
isthmusThickness,峡部厚度,String,甲状腺峡部的厚度,0.3cm
thyroidEchogenicity,甲状腺回声,String,"甲状腺实质的整体回声描述。<br>**建议值**: `均匀`, `不均匀`, `弥漫性增强`, `弥漫性减低`",回声尚均匀
nodules.location,甲状腺结节列表.结节位置,String,"甲状腺结节列表，每个对象描述一个结节的详细信息。结节在甲状腺内的具体位置。<br>**建议值**: `左叶上极`, `左叶中极`, `左叶下极`, `右叶上极`, `右叶中极`, `右叶下极`, `峡部`",右叶中部
nodules.size.length,甲状腺结节列表.结节大小.长(mm),Number,甲状腺结节列表，每个对象描述一个结节的详细信息。结节的尺寸（长*宽*高）。结节的长度,5.0
nodules.size.width,甲状腺结节列表.结节大小.宽(mm),Number,甲状腺结节列表，每个对象描述一个结节的详细信息。结节的尺寸（长*宽*高）。结节的宽度,4.0
nodules.size.height,甲状腺结节列表.结节大小.高(mm),Number,甲状腺结节列表，每个对象描述一个结节的详细信息。结节的尺寸（长*宽*高）。结节的高度,3.0
nodules.composition,甲状腺结节列表.成分,String,"甲状腺结节列表，每个对象描述一个结节的详细信息。结节的内部成分。<br>**建议值**: `囊性或几乎完全囊性 (0分)`, `海绵状 (0分)`, `混合性囊实性 (1分)`, `实性或几乎完全实性 (2分)`",实性或几乎完全实性
nodules.echogenicity,甲状腺结节列表.回声,String,"甲状腺结节列表，每个对象描述一个结节的详细信息。结节的回声类型。<br>**建议值**: `无回声`, `低回声`, `等回声`, `高回声`, `极低回声`",低回声
nodules.shape,甲状腺结节列表.形态,String,"甲状腺结节列表，每个对象描述一个结节的详细信息。结节的形态，主要指高宽比。<br>**建议值**: `宽大于高 (0分)`, `高大于宽 (3分)`",宽大于高
nodules.margin,甲状腺结节列表.边界,String,"甲状腺结节列表，每个对象描述一个结节的详细信息。结节的边界描述。<br>**建议值**: `清晰`, `模糊`, `不规则`, `微小分叶`, `蟹足样`",边界清晰
nodules.echogenicFoci,甲状腺结节列表.回声灶,String,"甲状腺结节列表，每个对象描述一个结节的详细信息。结节内部的回声灶（钙化）类型。<br>**建议值**: `无或彗星尾征 (0分)`, `大粗钙化 (1分)`, `周边钙化 (2分)`, `点状强回声 (3分)`",点状强回声
nodules.bloodFlow,甲状腺结节列表.血流 (CDFI),String,"甲状腺结节列表，每个对象描述一个结节的详细信息。彩色多普勒血流成像显示的结节血流信号。<br>**建议值**: `无血流信号 (0级)`, `少量点状血流 (1级)`, `结节内部丰富血流 (2级)`, `结节周边丰富血流 (3级)`",未见异常血流信号
nodules.tiRadsScore,甲状腺结节列表.TI-RADS 分级,String,"甲状腺结节列表，每个对象描述一个结节的详细信息。甲状腺影像报告和数据系统（TI-RADS）分级。<br>**建议值**: `1类`, `2类`, `3类`, `4A类`, `4B类`, `4C类`, `5类`, `6类`",4A类
lymphNodes,颈部淋巴结,String,颈部区域淋巴结的描述,双侧颈部未见肿大淋巴结
diagnosisImpression,诊断/印象,String,医生对超声检查的诊断或初步印象。,甲状腺多发结节（TI-RADS 4A类）
recommendation,建议,String,医生根据检查结果提出的建议。,建议穿刺活检
