Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,event_date,事件日期,date,,,,,Y,事件/输血时间,时间记录
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,危险因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Risk_Factors,risk_factors,危险因素,string,,,,,Y,VTE危险因素/输血指征,临床评估
Risk_Factors,thrombophilia,易栓症,boolean,,,,,N,遗传性/获得性易栓症,复发风险
Clinical_Features,symptoms,症状体征,string,,,,,Y,临床表现,诊断依据
Vital_Signs,vital_signs,生命体征,string,,,,,Y,血压/心率/SpO2,血流动力学
Labs,d_dimer,D-二聚体,decimal,mg/L,0-100,48065-7,,N,D-dimer,VTE排除
Labs,coagulation,凝血功能,string,,,,,Y,PT/APTT/INR/Fib,凝血评估
Labs,hemoglobin,血红蛋白,decimal,g/L,0-200,718-7,,Y,Hb,贫血评估
Labs,blood_type,血型,categorical,,A,B,AB,O,,,Y,ABO/Rh血型,输血配型
Imaging,imaging_diagnosis,影像学诊断,string,,,,,Y,超声/CT/V/Q扫描,确诊依据
Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,疾病诊断,临床诊断
Diagnosis,provoked_unprovoked,诱发性/非诱发性,categorical,,Provoked,Unprovoked,,,N,诱发性/非诱发性VTE,复发风险
Treatment_Anticoagulation,anticoagulation,抗凝治疗,categorical,,None,UFH,LMWH,Warfarin,DOAC,,,Y,无/普通肝素/低分子肝素/华法林/DOAC,抗凝方案
Treatment_Anticoagulation,anticoagulation_duration,抗凝疗程,categorical,,3_Months,6_Months,12_Months,Indefinite,,,N,3月/6月/12月/长期,治疗时长
Treatment_Transfusion,blood_products,输血制品,categorical,,RBC,Platelet,FFP,Cryoprecipitate,,,N,红细胞/血小板/血浆/冷沉淀,输血种类
Treatment_Transfusion,transfusion_volume,输血量,string,,,,,N,输血单位数,输血剂量
Monitoring,inr_monitoring,INR监测,decimal,,0-10,6301-6,,N,INR,华法林监测
Complications,bleeding_complications,出血并发症,categorical,,None,Minor,Major,,,Y,无/轻微/严重,抗凝风险
Complications,transfusion_reaction,输血反应,categorical,,None,Febrile,Allergic,Hemolytic,TRALI,,,N,无/发热/过敏/溶血/TRALI,输血不良反应
Outcome,treatment_outcome,治疗结局,categorical,,Resolution,Recurrence,Post_Thrombotic_Syndrome,,,Y,缓解/复发/血栓后综合征,VTE结局
Report,hematologist,血液科医师,string,,,,,Y,主管医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
