Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,admission_date,入院日期,date,,,,,Y,康复入院时间,起始评估
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,预后因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Primary_Diagnosis,primary_condition,主要诊断,string,,,,,Y,主要疾病/损伤,康复目标
Primary_Diagnosis,onset_date,发病日期,date,,,,,Y,疾病/损伤日期,病程
Functional_Status,barthel_index,Barthel指数,integer,,0-100,89418-8,,Y,日常生活能力,ADL评分
Functional_Status,fim_total,FIM总分,integer,,18-126,54634-4,,Y,功能独立性评定,康复结局
Functional_Status,ambulation,步行能力,categorical,,Independent,Assisted,Wheelchair,Bedbound,,,Y,独立/辅助/轮椅/卧床,移动功能
Functional_Status,transfers,转移能力,categorical,,Independent,Minimal_Assist,Moderate_Assist,Maximum_Assist,Dependent,,,Y,独立/最小/中度/最大协助/依赖,转移功能
Cognitive_Status,mmse,MMSE评分,integer,,0-30,72106-8,,Y,简易精神状态检查,认知功能
Cognitive_Status,moca,MoCA评分,integer,,0-30,72172-0,,N,蒙特利尔认知评估,认知筛查
Therapy,physical_therapy,物理治疗,boolean,,,,,Y,PT,运动功能
Therapy,occupational_therapy,作业治疗,boolean,,,,,Y,OT,日常生活技能
Therapy,speech_therapy,言语治疗,boolean,,,,,N,ST,语言/吞咽
Therapy,therapy_intensity,治疗强度,categorical,,Low,Moderate,High,,,Y,低/中/高强度,每周治疗时数
Therapy,therapy_hours_per_week,每周治疗时数,decimal,hours,0-40,,,N,治疗时数,康复剂量
Complications,contracture,关节挛缩,boolean,,,,,Y,活动受限,并发症
Complications,pressure_ulcer,压疮,boolean,,,,,Y,压力性损伤,皮肤完整性
Complications,depression,抑郁,boolean,,,,,Y,抑郁症状,心理健康
Complications,pain,疼痛,boolean,,,,,Y,疼痛,生活质量
Assistive_Devices,wheelchair,轮椅,boolean,,,,,Y,轮椅使用,辅助移动
Assistive_Devices,walker,助行器,boolean,,,,,Y,助行器,步行辅助
Assistive_Devices,cane,手杖,boolean,,,,,Y,拐杖,平衡辅助
Assistive_Devices,orthosis,矫形器,boolean,,,,,N,AFO/KAFO,肢体支撑
Discharge_Planning,discharge_destination,出院去向,categorical,,Home,Nursing_Facility,Long_Term_Care,Transfer,,,Y,家庭/护理机构/长期护理/转院,康复结局
Discharge_Planning,home_modifications,家庭改造,boolean,,,,,N,无障碍改造,居家安全
Outcome,functional_improvement,功能改善,boolean,,,,,Y,FIM提升,康复疗效
Outcome,length_of_stay,住院天数,integer,days,0-365,,,Y,LOS,康复时长
Report,physiatrist,康复医师,string,,,,,Y,医师姓名,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
