Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,病程记录
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,各年龄段
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征

TB_Classification,tb_type,结核类型,categorical,,Pulmonary_TB,Extrapulmonary_TB,Miliary_TB,,,Y,肺结核/肺外结核/粟粒性结核,分类
TB_Classification,pulmonary_tb,肺结核,boolean,,,,,Y,PTB,最常见85%
TB_Classification,extrapulmonary_tb,肺外结核,boolean,,,,,Y,EPTB,淋巴/胸膜/骨/脑膜等
TB_Classification,miliary_tb,粟粒性结核,boolean,,,,,N,血行播散,危重
TB_Classification,new_case,新发病例,boolean,,,,,Y,初治,从未治疗
TB_Classification,relapse,复发,boolean,,,,,Y,治愈后再发,既往治疗史
TB_Classification,treatment_failure,治疗失败,boolean,,,,,N,治疗后仍阳性,耐药风险
TB_Classification,ltbi,潜伏性结核感染,boolean,,,,,Y,LTBI,无活动性疾病

Presentation,chronic_cough,慢性咳嗽,boolean,,,,,Y,咳嗽>3周,典型症状
Presentation,hemoptysis,咯血,boolean,,,,,Y,痰中带血/大咯血,空洞/支气管结核
Presentation,night_sweats,盗汗,boolean,,,,,Y,夜间出汗,全身症状
Presentation,weight_loss,体重下降,boolean,,,,,Y,消瘦,消耗性疾病
Presentation,fever,发热,boolean,,,,,Y,低热/午后热,典型热型
Presentation,fatigue,乏力,boolean,,,,,Y,虚弱,全身症状
Presentation,anorexia,食欲不振,boolean,,,,,Y,厌食,消耗
Presentation,chest_pain,胸痛,boolean,,,,,N,胸膜受累,结核性胸膜炎
Presentation,dyspnea,呼吸困难,boolean,,,,,N,气促,广泛病变/积液

Risk_Factors,hiv_infection,HIV感染,boolean,,,,,Y,HIV阳性,最强风险因素
Risk_Factors,diabetes,糖尿病,boolean,,,,,Y,DM,免疫功能下降
Risk_Factors,immunosuppression,免疫抑制,boolean,,,,,Y,肿瘤化疗/器官移植/激素,高危人群
Risk_Factors,malnutrition,营养不良,boolean,,,,,N,BMI<18.5,免疫低下
Risk_Factors,smoking,吸烟,boolean,,,,,Y,吸烟史,肺部易感
Risk_Factors,household_contact,家庭接触史,boolean,,,,,Y,密切接触者,传播途径
Risk_Factors,congregate_settings,集体居住,boolean,,,,,N,监狱/收容所/养老院,聚集性发病
Risk_Factors,healthcare_worker,医务人员,boolean,,,,,N,职业暴露,院内感染
Risk_Factors,immigrant,移民,boolean,,,,,N,来自高流行区,TB高发地区
Risk_Factors,homeless,无家可归,boolean,,,,,N,流浪,高危人群
Risk_Factors,alcohol_abuse,酗酒,boolean,,,,,N,酒精依赖,免疫功能/依从性
Risk_Factors,substance_use,药物滥用,boolean,,,,,N,静脉吸毒,HIV共感染

Physical_Exam,vital_signs_stable,生命体征,categorical,,Stable,Fever,Tachycardia,Tachypnea,Hypotension,,,Y,稳定/发热/心动过速/呼吸急促/低血压,严重度
