fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,血管内皮功能检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,VEF-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,检查适应症和临床背景,糖尿病血管并发症筛查
chiefComplaint,主诉,String,患者主要症状和主诉,下肢间歇性跛行
presentIllness,现病史,String,当前疾病详细病史,近半年活动后下肢疼痛
pastHistory,既往史,String,既往疾病史,2型糖尿病10年高血压5年
familyHistory,家族史,String,家族心血管病史,父亲心肌梗死
smokingHistory,吸烟史,String,吸烟情况和戒烟史,吸烟20年已戒烟2年
alcoholHistory,饮酒史,String,饮酒习惯和酒精摄入,偶尔饮酒
currentMedications,当前用药,String,目前使用的药物,阿司匹林氯吡格雷
vitalSigns,生命体征,String,血压心率体温,BP 145/90 HR 78 RR 18
physicalExamination,体格检查,String,心血管系统体检,双下肢动脉搏动减弱
peripheralPulses,周围动脉搏动,String,四肢动脉搏动检查,足背动脉搏动微弱
capillaryRefill,毛细血管充盈时间,Number,毛细血管充盈时间(秒),3.5
skinTemperature,皮肤温度,String,四肢皮肤温度检查,双足偏凉
skinColor,皮肤颜色,String,四肢皮肤颜色变化,轻度发绀
edema,水肿,String,四肢水肿情况,轻度踝部水肿
varicoseVeins,静脉曲张,String,下肢静脉曲张检查,无明显静脉曲张
brachialSystolic,肱动脉收缩压,Number,肱动脉收缩压(mmHg),145
brachialDiastolic,肱动脉舒张压,Number,肱动脉舒张压(mmHg),90
ankleRightSystolic,右踝动脉收缩压,Number,右踝动脉收缩压(mmHg),120
ankleLeftSystolic,左踝动脉收缩压,Number,左踝动脉收缩压(mmHg),115
ABIRight,右侧踝肱指数,Number,右侧ABI值,0.83
ABILeft,左侧踝肱指数,Number,左侧ABI值,0.79
ABIAverage,平均踝肱指数,Number,双侧ABI平均值,0.81
TBIRight,右侧趾肱指数,Number,右侧TBI值,0.75
TBILeft,左侧趾肱指数,Number,左侧TBI值,0.72
PWVCarotidFemoral,颈股脉搏波传导速度,Number,cf-PWV值(m/s),9.8
PWVBrachialAnkle,肱踝脉搏波传导速度,Number,ba-PWV值(m/s),1580
PWVCarotidRadial,颈桡脉搏波传导速度,Number,cr-PWV值(m/s),8.5
augmentationIndex,增强指数,Number,AI值(%),28
augmentationPressure,增强压力,Number,增强压力值(mmHg),15
centralSystolicPressure,中心收缩压,Number,主动脉收缩压(mmHg),132
centralDiastolicPressure,中心舒张压,Number,主动脉舒张压(mmHg),88
centralPulsePressure,中心脉压,Number,中心脉压差(mmHg),44
timeToReflection,反射波时间,Number,反射波到达时间(ms),145
ejectionDuration,射血持续时间,Number,左室射血时间(ms),320
baselineDiameter,基础直径,Number,肱动脉基础直径(mm),4.2
maximumDiameter,最大直径,Number,反应性充血后最大直径(mm),4.8
FMD,流介导的血管舒张,Number,FMD值(%),14.3
