Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,诊疗日期,病程记录
Basic_Info,age,年龄,integer,years,5-100,,,Y,患者年龄,BPPV老年多见
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,BPPV女性2倍

Symptom_Type,dizziness_type,眩晕类型,categorical,,"True_Vertigo,Presyncope,Disequilibrium,Lightheadedness,Mixed",,,Y,眩晕分类,定性诊断
Vertigo_Character,vertigo_quality,眩晕性质,categorical,,"Rotational,Rocking,Tilting,Floating",,,N,旋转/摇晃/倾斜/漂浮,前庭vs非前庭
Vertigo_Character,vertigo_duration,单次发作持续时间,categorical,,"Seconds,Minutes,Hours,Days,Persistent",,,Y,持续时间,BPPV秒-分/梅尼埃数小时
Vertigo_Character,attack_frequency,发作频率,categorical,,"Single,Occasional,Frequent,Daily,Continuous",,,Y,发作次数,病程特点
Vertigo_Character,severity,严重程度,categorical,,"Mild,Moderate,Severe",,,Y,眩晕强度,功能影响

Diagnosis_Peripheral,bppv,良性阵发性位置性眩晕,boolean,,,,,N,BPPV,最常见周围性
Diagnosis_Peripheral,bppv_canal,BPPV受累半规管,categorical,,"NA,Posterior,Horizontal,Anterior",,,N,后/外/前半规管,后半规管85%
Diagnosis_Peripheral,menieres_disease,梅尼埃病,boolean,,,,,N,梅尼埃,膜迷路积水
Diagnosis_Peripheral,vestibular_neuritis,前庭神经炎,boolean,,,,,N,前庭神经炎,病毒感染
Diagnosis_Peripheral,labyrinthitis,迷路炎,boolean,,,,,N,迷路炎,感染/听力下降
Diagnosis_Peripheral,vestibular_migraine,前庭性偏头痛,boolean,,,,,N,VM,偏头痛相关
Diagnosis_Central,central_vertigo,中枢性眩晕,boolean,,,,,N,中枢性,脑干小脑
Diagnosis_Central,stroke_tia,脑卒中TIA,boolean,,,,,N,脑血管病,急性起病
Diagnosis_Central,vertebrobasilar_insufficiency,椎基底动脉供血不足,boolean,,,,,N,VBI,血管性
Diagnosis_Central,ms,多发性硬化,boolean,,,,,N,MS,脱髓鞘

Positional,positional_vertigo,位置性眩晕,boolean,,,,,Y,体位改变诱发,BPPV特征
