Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,就诊时间,诊疗时点
Basic_Info,age,年龄,integer,years,1-120,,,Y,患者年龄,年龄因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Chief_Complaint,chief_complaint,主诉,string,,,,,Y,患者主诉,就诊原因
Chief_Complaint,symptom_duration,症状持续时间,integer,days,0-365,,,Y,症状天数,急性/慢性
Symptoms,primary_symptoms,主要症状,string,,,,,Y,症状描述,临床表现
Symptoms,associated_symptoms,伴随症状,string,,,,,N,相关症状,系统评估
Examination,physical_examination,体格检查,string,,,,,Y,耳鼻喉专科检查,检查所见
Examination,otoscopy,耳镜检查,categorical,,Not_Applicable,Normal,Abnormal,,,N,不适用/正常/异常,耳部检查
Examination,rhinoscopy,鼻镜检查,categorical,,Not_Applicable,Normal,Abnormal,,,N,不适用/正常/异常,鼻腔检查
Examination,laryngoscopy,喉镜检查,categorical,,Not_Applicable,Normal,Abnormal,,,N,不适用/正常/异常,喉部检查
Hearing_Assessment,audiometry,听力测试,categorical,,Not_Done,Normal,Conductive_Loss,Sensorineural_Loss,Mixed_Loss,,,N,未做/正常/传导性/感音神经性/混合性,听力评估
Hearing_Assessment,hearing_threshold,听阈,integer,dB,0-120,,,N,平均听阈dB HL,听力损失程度
Imaging,imaging_modality,影像学检查,categorical,,None,CT,MRI,,,N,无/CT/MRI,影像学评估
Imaging,imaging_findings,影像学表现,string,,,,,N,病变描述,诊断依据
Labs,laboratory_tests,实验室检查,string,,,,,N,血常规/过敏原/病原学,辅助诊断
Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,疾病诊断,诊断依据
Diagnosis,severity,疾病严重度,categorical,,Mild,Moderate,Severe,,,Y,轻度/中度/重度,分级管理
Treatment_Medical,medical_treatment,药物治疗,string,,,,,Y,抗生素/类固醇/抗组胺,药物方案
Treatment_Medical,duration,治疗疗程,integer,days,0-90,,,Y,治疗天数,疗程管理
Treatment_Surgical,surgical_intervention,手术治疗,categorical,,None,Planned,Performed,,,Y,无/计划/已施行,手术干预
Treatment_Supportive,supportive_care,支持治疗,string,,,,,N,对症处理,辅助治疗
Complications,complications,并发症,categorical,,None,Hearing_Loss,Facial_Paralysis,Intracranial_Extension,,,Y,无/听力丧失/面瘫/颅内扩展,严重并发症
Follow_Up,follow_up_plan,随访计划,string,,,,,Y,复诊安排,后续管理
Outcome,treatment_outcome,治疗结局,categorical,,Cured,Improved,No_Change,Worsened,,,Y,治愈/好转/无变化/恶化,疗效评估
Report,ent_specialist,耳鼻喉医师,string,,,,,Y,主治医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
