Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,病毒性肝炎确诊日期,诊断时间点
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄相关进展
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,性别差异

Virus_Type,hepatitis_type,肝炎类型,categorical,,,"HBV,HCV,HBV_HCV_Coinfection,HBV_HDV_Coinfection,Other",,,Y,病毒类型,病原分类
Virus_Type,infection_status,感染状态,categorical,,,"Acute,Chronic,Resolved,Occult",,,Y,感染阶段,疾病分期

HBV_Serology,hbsag,乙肝表面抗原,categorical,,,"Positive,Negative",,,N,HBsAg,感染标志
HBV_Serology,hbsag_quantitative,HBsAg定量,decimal,IU/mL,0-100000,5196-1,,N,HBsAg定量,病毒清除预测
HBV_Serology,anti_hbs,乙肝表面抗体,categorical,,,"Positive,Negative",,,N,抗-HBs,保护性抗体
HBV_Serology,anti_hbs_titer,抗-HBs滴度,decimal,mIU/mL,0-10000,16935-9,,N,抗-HBs定量,免疫力>10
HBV_Serology,hbeag,乙肝e抗原,categorical,,,"Positive,Negative,NA",,,N,HBeAg,复制活跃
HBV_Serology,anti_hbe,乙肝e抗体,categorical,,,"Positive,Negative,NA",,,N,抗-HBe,低复制
HBV_Serology,anti_hbc_total,乙肝核心抗体,categorical,,,"Positive,Negative",,,N,抗-HBc总,感染史
HBV_Serology,anti_hbc_igm,抗-HBc IgM,categorical,,,"Positive,Negative",,,N,抗-HBc IgM,急性/慢性急性发作
HBV_Serology,serologic_pattern,血清学模式,categorical,,,"Acute_Infection,Chronic_Active,Inactive_Carrier,Immune,Vaccinated,Window_Period,Occult",,,N,HBV血清学分型,疾病状态

HBV_Virology,hbv_dna,HBV DNA,decimal,IU/mL,0-1000000000,5012-0,,N,乙肝病毒载量,病毒复制
HBV_Virology,hbv_dna_log,HBV DNA对数,decimal,log IU/mL,0-10,,,N,病毒载量log值,标准化表达
HBV_Virology,hbv_dna_detectable,HBV DNA可检测,categorical,,,"Detectable,Undetectable,NA",,,N,病毒学定性,检测下限
HBV_Virology,hbv_genotype,HBV基因型,categorical,,,"A,B,C,D,E,F,G,H,Mixed,Unknown",,,N,乙肝基因型,地理流行/预后
HBV_Virology,basal_core_promoter,BCP突变,categorical,,,"Present,Absent,Unknown",,,N,基础核心启动子突变,HCC风险
HBV_Virology,precore_mutation,前C区突变,categorical,,,"Present,Absent,Unknown",,,N,前C区突变(G1896A),HBeAg阴性CHB
HBV_Virology,drug_resistance,耐药突变,categorical,,,"Detected,Not_Detected,Unknown",,,N,核苷(酸)类耐药,治疗失败

HCV_Serology,anti_hcv,丙肝抗体,categorical,,,"Positive,Negative",,,N,抗-HCV,感染标志
HCV_Serology,anti_hcv_signal,抗-HCV信号值,decimal,S/CO,0-50,,,N,HCV抗体信号比,阳性强度

HCV_Virology,hcv_rna,HCV RNA,decimal,IU/mL,0-100000000,11259-9,,N,丙肝病毒载量,病毒复制
HCV_Virology,hcv_rna_log,HCV RNA对数,decimal,log IU/mL,0-9,,,N,HCV RNA log值,标准化
HCV_Virology,hcv_rna_detectable,HCV RNA可检测,categorical,,,"Detectable,Undetectable,NA",,,N,病毒学定性,感染活跃
HCV_Virology,hcv_genotype,HCV基因型,categorical,,,"1a,1b,2,3,4,5,6,Mixed,Unknown",,,N,丙肝基因型,治疗方案
HCV_Virology,hcv_core_antigen,HCV核心抗原,decimal,fmol/L,0-100000,,,N,HCV cAg,病毒标志
HCV_Virology,ras_testing,耐药相关突变,categorical,,,"Done,Not_Done",,,N,RAS检测,DAA耐药

HDV_Serology,anti_hdv,丁肝抗体,categorical,,,"Positive,Negative,Not_Tested",,,N,抗-HDV,HDV感染
HDV_Serology,hdv_rna,HDV RNA,categorical,,,"Positive,Negative,Not_Tested",,,N,HDV病毒载量,活动感染

Liver_Function,alt,丙氨酸转氨酶,integer,U/L,0-5000,1742-6,,Y,ALT,肝细胞损伤
Liver_Function,ast,天冬氨酸转氨酶,integer,U/L,0-5000,1920-8,,Y,AST,肝损伤
Liver_Function,ast_alt_ratio,AST/ALT比值,decimal,,0-10,,,N,AST/ALT,纤维化/肝硬化
Liver_Function,total_bilirubin,总胆红素,decimal,μmol/L,0-500,1975-2,,Y,TBil,胆汁淤积
Liver_Function,direct_bilirubin,直接胆红素,decimal,μmol/L,0-300,1968-7,,N,DBil,肝细胞性黄疸
Liver_Function,albumin,白蛋白,decimal,g/L,10-60,1751-7,,Y,ALB,肝合成功能
Liver_Function,globulin,球蛋白,decimal,g/L,10-80,2336-6,,N,GLO,免疫反应
Liver_Function,alp,碱性磷酸酶,integer,U/L,0-1000,6768-6,,N,ALP,胆汁淤积
Liver_Function,ggt,γ-谷氨酰转肽酶,integer,U/L,0-1000,2324-2,,N,GGT,胆道疾病
Liver_Function,inr,INR,decimal,,0-10,6301-6,,N,凝血功能,肝合成功能
Liver_Function,pt,凝血酶原时间,decimal,seconds,5-100,5902-2,,N,PT,凝血障碍
